date,close,volume,open,high,low
2018-09-14,223.84 ,31801970,225.75,226.84,222.522
2018-09-13,226.41 ,41411350,223.52,228.35,222.57
2018-09-12,221.07 ,49118510,224.94,225,219.84
2018-09-11,223.85 ,35644510,218.01,224.299,216.56
2018-09-10,218.33 ,39194720,220.95,221.85,216.47
2018-09-07,221.30 ,37418910,221.85,225.37,220.71
2018-09-06,223.10 ,34121240,226.23,227.35,221.3
2018-09-05,226.87 ,33290830,228.99,229.67,225.1
2018-09-04,228.36 ,27363960,228.41,229.18,226.63
2018-08-31,227.63 ,43177540,226.51,228.87,226
2018-08-30,225.03 ,48696960,223.25,228.26,222.4
2018-08-29,222.98 ,27074260,220.15,223.49,219.41
2018-08-28,219.70 ,22751390,219.01,220.54,218.92
2018-08-27,217.94 ,20400770,217.15,218.74,216.33
2018-08-24,216.16 ,18457720,216.6,216.9,215.11
2018-08-23,215.49 ,18505780,214.65,217.05,214.6
2018-08-22,215.05 ,18965930,214.1,216.36,213.84
2018-08-21,215.04 ,25682700,216.8,217.19,214.025
2018-08-20,215.46 ,30149410,218.1,219.18,215.11
2018-08-17,217.58 ,35034410,213.44,217.95,213.16
2018-08-16,213.32 ,27595310,211.75,213.8121,211.47
2018-08-15,210.24 ,28595230,209.22,210.74,208.33
2018-08-14,209.75 ,20679270,210.155,210.56,208.26
2018-08-13,208.87 ,25864510,207.7,210.952,207.7
2018-08-10,207.53 ,24592460,207.36,209.1,206.67
2018-08-09,208.88 ,23389530,207.28,209.78,207.2
2018-08-08,207.25 ,22493750,206.05,207.81,204.52
2018-08-07,207.11 ,25525650,209.32,209.5,206.76
2018-08-06,209.07 ,25396100,208,209.25,207.07
2018-08-03,207.99 ,33408050,207.03,208.74,205.4803
2018-08-02,207.39 ,62317430,200.58,208.38,200.35
2018-08-01,201.50 ,67812280,199.13,201.76,197.31
2018-07-31,190.29 ,37847260,190.3,192.14,189.34
2018-07-30,189.91 ,20912890,191.9,192.2,189.07
2018-07-27,190.98 ,23975350,194.99,195.19,190.1
2018-07-26,194.21 ,19005150,194.61,195.96,193.61
2018-07-25,194.82 ,16553500,193.06,194.85,192.43
2018-07-24,193.00 ,18680930,192.45,193.6601,192.05
2018-07-23,191.61 ,15955820,190.68,191.96,189.56
2018-07-20,191.44 ,20670830,191.78,192.43,190.17
2018-07-19,191.88 ,20182050,189.69,192.55,189.69
2018-07-18,190.40 ,16365720,191.78,191.8,189.93
2018-07-17,191.45 ,15515000,189.75,191.87,189.2
2018-07-16,190.91 ,15009800,191.52,192.65,190.415
2018-07-13,191.33 ,12506830,191.08,191.84,190.9
2018-07-12,191.03 ,18000180,189.53,191.41,189.31
2018-07-11,187.88 ,18776390,188.5,189.7799,187.61
2018-07-10,190.35 ,15801370,190.71,191.28,190.1801
2018-07-09,190.58 ,19636390,189.5,190.68,189.3
2018-07-06,187.97 ,17426160,185.42,188.434,185.2
2018-07-05,185.40 ,16543880,185.26,186.41,184.28
2018-07-03,183.92 ,13954810,187.79,187.95,183.54
2018-07-02,187.18 ,17675210,183.82,187.3,183.42
2018-06-29,185.11 ,22551660,186.29,187.19,182.91
2018-06-28,185.50 ,17352380,184.1,186.21,183.8
2018-06-27,184.16 ,24987260,185.228,187.28,184.03
2018-06-26,184.43 ,24378480,182.99,186.53,182.54
2018-06-25,182.17 ,31632320,183.4,184.92,180.73
2018-06-22,184.92 ,27185130,186.12,186.15,184.7
2018-06-21,185.46 ,25649240,187.25,188.35,184.94
2018-06-20,186.50 ,20490090,186.35,187.2,185.73
2018-06-19,185.69 ,33538550,185.14,186.33,183.45
2018-06-18,188.74 ,18458410,187.88,189.22,187.2
2018-06-15,188.84 ,61438290,190.03,190.16,188.26
2018-06-14,190.80 ,21584720,191.55,191.57,190.22
,,,,,
,,,,,
